Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2013-01-02,SBIC,Stanbic Holdings Plc,76.5,118.5,43,43,43,42,1,2.38%,100,-,,
2013-01-03,SBIC,Stanbic Holdings Plc,76.5,118.5,42.5,43,42.75,43,-0.25,0.58%,"4,800",-,,
2013-01-04,SBIC,Stanbic Holdings Plc,76.5,118.5,43.25,43.75,43.5,42.75,0.75,1.75%,"5,100",-,,
2013-01-07,SBIC,Stanbic Holdings Plc,76.5,118.5,43.75,45,44.75,43.5,1.25,2.87%,"9,800",-,,
2013-01-08,SBIC,Stanbic Holdings Plc,76.5,118.5,45,45,45,44.75,0.25,0.56%,"22,800",-,,
2013-01-09,SBIC,Stanbic Holdings Plc,76.5,118.5,45,46.5,45,45,-,-,"99,700",-,,
2013-01-10,SBIC,Stanbic Holdings Plc,76.5,118.5,46,46.75,46,45,1,2.22%,"22,700",-,,
2013-01-11,SBIC,Stanbic Holdings Plc,76.5,118.5,45,46,45,46,-1,2.17%,"2,529,000",-,,
2013-01-14,SBIC,Stanbic Holdings Plc,76,118.5,45,46,45,45,-,-,"43,200",-,,
2013-01-15,SBIC,Stanbic Holdings Plc,76.5,118.5,45,46,45,45,-,-,"18,300",-,,
2013-01-16,SBIC,Stanbic Holdings Plc,76.5,118.5,45,48.5,45.25,45,0.25,0.56%,"192,400",-,,
2013-01-17,SBIC,Stanbic Holdings Plc,76.5,118.5,44.75,46,45,45.25,-0.25,0.55%,"52,000",-,,
2013-01-18,SBIC,Stanbic Holdings Plc,76.5,118.5,45,45,45,45,-,-,700,-,,
2013-01-21,SBIC,Stanbic Holdings Plc,76.5,118.5,42,44.5,42.25,45,-2.75,6.11%,"1,300",-,,
2013-01-22,SBIC,Stanbic Holdings Plc,76.5,118.5,45,45,45,42.25,2.75,6.51%,100,-,,
2013-01-23,SBIC,Stanbic Holdings Plc,76,118.5,41,44,41.5,45,-3.5,7.78%,"55,200",-,,
2013-01-24,SBIC,Stanbic Holdings Plc,76.5,118.5,41.25,45,41.75,41.5,0.25,0.60%,"12,800",-,,
2013-01-25,SBIC,Stanbic Holdings Plc,76.5,118.5,41.25,45,41.25,41.75,-0.5,1.20%,"5,300",-,,
2013-01-28,SBIC,Stanbic Holdings Plc,76.5,118.5,41.5,41.5,41.5,41.25,0.25,0.61%,"3,300",-,,
2013-01-29,SBIC,Stanbic Holdings Plc,76.5,118.5,41.5,42,41.75,41.5,0.25,0.60%,"5,500",-,,
2013-01-30,SBIC,Stanbic Holdings Plc,76,118.5,42,42.5,42.25,41.75,0.5,1.20%,"73,000",-,,
2013-01-31,SBIC,Stanbic Holdings Plc,76,118.5,42.75,43,42.75,42.25,0.5,1.18%,"24,200",-,,
2013-02-01,SBIC,Stanbic Holdings Plc,76,118.5,43,45,44.25,42.75,1.5,3.51%,300,-,,
2013-02-04,SBIC,Stanbic Holdings Plc,76,118.5,43,44.25,43.25,44.25,-1,2.26%,"4,200",-,,
2013-02-05,SBIC,Stanbic Holdings Plc,76,118.5,42.75,44,42.75,43.25,-0.5,1.16%,"14,100",-,,
2013-02-06,SBIC,Stanbic Holdings Plc,76.5,118.5,42.75,42.75,42.75,42.75,-,-,600,-,,
2013-02-07,SBIC,Stanbic Holdings Plc,76,118.5,44,46.25,45,42.75,2.25,5.26%,"38,400",-,,
2013-02-08,SBIC,Stanbic Holdings Plc,76.5,118.5,45,46,45.25,45,0.25,0.56%,"53,700",-,,
2013-02-11,SBIC,Stanbic Holdings Plc,76.5,118.5,44,45.25,44.75,45.25,-0.5,1.10%,"245,800",-,,
2013-02-12,SBIC,Stanbic Holdings Plc,76.5,118.5,45,45.5,45,44.75,0.25,0.56%,"7,000",-,,
2013-02-13,SBIC,Stanbic Holdings Plc,76.5,118.5,45.5,45.5,45.5,45,0.5,1.11%,"1,000",-,,
2013-02-14,SBIC,Stanbic Holdings Plc,76.5,118.5,45.5,46.5,46,45.5,0.5,1.10%,"85,000",-,,
2013-02-15,SBIC,Stanbic Holdings Plc,76.5,118.5,46,48,47,46,1,2.17%,"2,400",-,,
2013-02-18,SBIC,Stanbic Holdings Plc,76.5,118.5,46,46,46,47,-1,2.13%,500,-,,
2013-02-19,SBIC,Stanbic Holdings Plc,76.5,118.5,46,46,46,46,-,-,"7,800",-,,
2013-02-20,SBIC,Stanbic Holdings Plc,76.5,118.5,45.5,46,45.75,46,-0.25,0.54%,"3,700",-,,
2013-02-21,SBIC,Stanbic Holdings Plc,76.5,118.5,45.5,46,45.5,45.75,-0.25,0.55%,"1,400",-,,
2013-02-22,SBIC,Stanbic Holdings Plc,76.5,118.5,45.5,45.75,45.5,45.5,-,-,"320,100",-,,
2013-02-25,SBIC,Stanbic Holdings Plc,76.5,118.5,45.75,46,45.75,45.5,0.25,0.55%,"5,100",-,,
2013-02-26,SBIC,Stanbic Holdings Plc,76.5,118.5,45.5,46,45.75,45.75,-,-,"2,100",-,,
2013-02-27,SBIC,Stanbic Holdings Plc,76.5,118.5,45.5,46,45.5,45.75,-0.25,0.55%,700,-,,
2013-02-28,SBIC,Stanbic Holdings Plc,76.5,118.5,45.25,45.5,45.25,45.5,-0.25,0.55%,"27,300",-,,
2013-03-01,SBIC,Stanbic Holdings Plc,76.5,118.5,45.5,45.75,45.5,45.25,0.25,0.55%,"7,200",-,,
2013-03-05,SBIC,Stanbic Holdings Plc,76.5,118.5,48,49,48.25,45.5,2.75,6.04%,"9,000",-,,
