Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,SCAN,ScanGroup,40,75.5,24,26,25,24.75,0.25,1.00%,"198,400",20.83,,
2007-01-03,SCAN,ScanGroup,40,75.5,24.75,26,25,25,-,-,"259,800",20.83,,
2007-01-04,SCAN,ScanGroup,40,75.5,24.5,26,25,25,-,-,"443,800",20.83,,
2007-01-05,SCAN,ScanGroup,40,75.5,25,26,25.25,25,0.25,0.99%,"315,500",21.04,,
2007-01-08,SCAN,ScanGroup,40,75.5,24.75,26,25,25.25,-0.25,1.00%,"355,800",20.83,,
2007-01-09,SCAN,ScanGroup,40,75.5,22.5,26.5,25.5,25,0.5,1.96%,"430,400",21.25,,
2007-01-10,SCAN,ScanGroup,40,75.5,25,27,26.25,25.5,0.75,2.86%,"679,400",21.88,,
2007-01-11,SCAN,ScanGroup,40,75.5,25.5,29,28.25,26.25,2,7.08%,"661,500",23.54,,
2007-01-12,SCAN,ScanGroup,40,75.5,28,31.5,29.25,28.25,1,3.42%,"1,640,000",24.38,,
2007-01-15,SCAN,ScanGroup,40,75.5,26.25,30,27.5,29.25,-1.75,6.36%,"673,600",22.92,,
2007-01-16,SCAN,ScanGroup,40,75.5,26,30,28.5,27.5,1,3.51%,"704,300",23.75,,
2007-01-17,SCAN,ScanGroup,40,75.5,26.5,29,28,28.5,-0.5,1.79%,"557,200",23.33,,
2007-01-18,SCAN,ScanGroup,40,75.5,25,29,27.25,28,-0.75,2.75%,"437,800",22.71,,
2007-01-19,SCAN,ScanGroup,40,75.5,24,28.5,27,27.25,-0.25,0.93%,"329,300",22.5,,
2007-01-22,SCAN,ScanGroup,40,75.5,25,29.75,27.5,27,0.5,1.82%,"516,600",22.92,,
2007-01-23,SCAN,ScanGroup,40,75.5,26,28,27.25,27.5,-0.25,0.92%,"164,900",22.71,,
2007-01-24,SCAN,ScanGroup,40,75.5,25.5,30,27.5,27.25,0.25,0.91%,"481,800",22.92,,
2007-01-25,SCAN,ScanGroup,40,75.5,24.75,28,27,27.5,-0.5,1.85%,"290,700",22.5,,
2007-01-26,SCAN,ScanGroup,40,75.5,26,29,27.25,27,0.25,0.92%,"497,300",22.71,,
2007-01-29,SCAN,ScanGroup,40,75.5,25,27.5,26.75,27.25,-0.5,1.87%,"254,300",22.29,,
2007-01-30,SCAN,ScanGroup,40,75.5,26,28.5,26.75,26.75,-,-,"359,500",22.29,,
2007-01-31,SCAN,ScanGroup,40,75.5,24,28.5,26,26.75,-0.75,2.88%,"365,800",21.67,,
2007-02-01,SCAN,ScanGroup,40,75.5,24,27.75,25.5,26,-0.5,1.96%,"250,600",21.25,,
2007-02-02,SCAN,ScanGroup,40,75.5,22.75,25.75,24.5,25.5,-1,4.08%,"95,700",20.42,,
2007-02-05,SCAN,ScanGroup,40,75.5,22.25,25.25,24.5,24.5,-,-,"172,600",20.42,,
2007-02-06,SCAN,ScanGroup,40,75.5,21.75,24.25,23.5,24.5,-1,4.26%,"619,000",19.58,,
2007-02-07,SCAN,ScanGroup,40,75.5,22.5,25.5,23.5,23.5,-,-,"204,300",19.58,,
2007-02-08,SCAN,ScanGroup,40,75.5,22.5,25.5,24.5,23.5,1,4.08%,"146,700",20.42,,
2007-02-09,SCAN,ScanGroup,40,75.5,24,26,25,24.5,0.5,2.00%,"126,900",20.83,,
2007-02-12,SCAN,ScanGroup,40,75.5,23.5,26.5,25.75,25,0.75,2.91%,"121,700",21.46,,
2007-02-13,SCAN,ScanGroup,40,75.5,25,28.25,25.75,25.75,-,-,"78,100",21.46,,
2007-02-14,SCAN,ScanGroup,40,75.5,23,26,24.5,25.75,-1.25,5.10%,"225,200",20.42,,
2007-02-15,SCAN,ScanGroup,40,75.5,23,25,24,24.5,-0.5,2.08%,"134,900",20,,
2007-02-16,SCAN,ScanGroup,40,75.5,21.25,25,24,24,-,-,"538,500",20,,
2007-02-19,SCAN,ScanGroup,40,75.5,24,25.75,24.75,24,0.75,3.03%,"117,000",20.63,,
2007-02-20,SCAN,ScanGroup,40,75.5,23,26,25,24.75,0.25,1.00%,"108,500",20.83,,
2007-02-21,SCAN,ScanGroup,40,75.5,24,26,25,25,-,-,"230,600",20.83,,
2007-02-22,SCAN,ScanGroup,40,75.5,22.5,25.5,24.5,25,-0.5,2.04%,"263,100",20.42,,
2007-02-23,SCAN,ScanGroup,40,75.5,23,26,24.5,24.5,-,-,"242,000",20.42,,
2007-02-26,SCAN,ScanGroup,40,75.5,22.5,25.5,24.25,24.5,-0.25,1.03%,"140,700",20.21,,
2007-02-27,SCAN,ScanGroup,40,75.5,22.5,25.5,24,24.25,-0.25,1.04%,"244,900",20,,
2007-02-28,SCAN,ScanGroup,40,75.5,22.5,26.25,24,24,-,-,"106,400",20,,
2007-03-01,SCAN,ScanGroup,40,75.5,22,25.5,23.25,24,-0.75,3.23%,"273,900",19.38,,
2007-03-02,SCAN,ScanGroup,40,75.5,21,24,23.25,23.25,-,-,"133,800",19.38,,
2007-03-05,SCAN,ScanGroup,40,75.5,22.25,25.25,23.5,23.25,0.25,1.06%,"79,600",19.58,,
2007-03-06,SCAN,ScanGroup,40,75.5,23,24.5,23.25,23.5,-0.25,1.08%,"122,300",19.38,,
2007-03-07,SCAN,ScanGroup,40,75.5,22.5,25,24.25,23.25,1,4.12%,"164,800",20.21,,
2007-03-08,SCAN,ScanGroup,40,75.5,22.75,24.75,24,24.25,-0.25,1.04%,"172,200",20,,
2007-03-09,SCAN,ScanGroup,40,75.5,22.75,26.25,25.25,24,1.25,4.95%,"410,000",21.04,,
2007-03-12,SCAN,ScanGroup,40,75.5,21.5,25,23.25,25.25,-2,8.60%,"210,400",19.38,,
2007-03-13,SCAN,ScanGroup,40,75.5,22.75,25,23.75,23.25,0.5,2.11%,"252,500",19.79,,
2007-03-14,SCAN,ScanGroup,40,75.5,22.5,24,23,23.75,-0.75,3.26%,"191,200",19.17,,
2007-03-15,SCAN,ScanGroup,40,75.5,21.25,24,23.75,23,0.75,3.16%,"400,600",19.79,,
2007-03-16,SCAN,ScanGroup,40,75.5,22.25,24.5,23.5,23.75,-0.25,1.06%,"787,300",19.58,,
2007-03-19,SCAN,ScanGroup,40,75.5,21.5,23.25,22.25,23.5,-1.25,5.62%,"87,100",18.54,,
2007-03-20,SCAN,ScanGroup,40,75.5,20,22.5,21.5,22.25,-0.75,3.49%,"92,900",17.92,,
2007-03-21,SCAN,ScanGroup,40,75.5,18.65,22,21.5,21.5,-,-,"936,800",17.92,,
2007-03-22,SCAN,ScanGroup,40,75.5,20,22,21,21.5,-0.5,2.38%,"96,500",17.5,,
2007-03-23,SCAN,ScanGroup,40,75.5,20,22.5,20.5,21,-0.5,2.44%,"231,400",17.08,,
2007-03-26,SCAN,ScanGroup,40,75.5,18.7,21,20,20.5,-0.5,2.50%,"79,400",16.67,,
2007-03-27,SCAN,ScanGroup,40,75.5,17.6,21.5,20.25,20,0.25,1.23%,"305,200",16.88,,
2007-03-28,SCAN,ScanGroup,40,75.5,20.75,22.75,22.25,20.25,2,8.99%,"206,500",18.54,,
