Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,SCBK,Standard Chartered Bank,160,320,202,210,205,205,-,-,"54,400",-,,
2007-01-03,SCBK,Standard Chartered Bank,160,320,206,215,210,205,5,2.38%,"66,100",-,,
2007-01-04,SCBK,Standard Chartered Bank,160,320,210,230,212,210,2,0.94%,"26,700",-,,
2007-01-05,SCBK,Standard Chartered Bank,160,320,215,230,218,212,6,2.75%,"25,000",-,,
2007-01-08,SCBK,Standard Chartered Bank,160,320,220,236,225,218,7,3.11%,"14,800",-,,
2007-01-09,SCBK,Standard Chartered Bank,160,320,221,249,236,225,11,4.66%,"36,400",-,,
2007-01-10,SCBK,Standard Chartered Bank,160,320,225,260,245,236,9,3.67%,"27,000",-,,
2007-01-11,SCBK,Standard Chartered Bank,160,320,237,270,251,245,6,2.39%,"77,900",-,,
2007-01-12,SCBK,Standard Chartered Bank,160,320,240,270,259,251,8,3.09%,"85,600",-,,
2007-01-15,SCBK,Standard Chartered Bank,160,320,235,259,250,259,-9,3.60%,"44,900",-,,
2007-01-16,SCBK,Standard Chartered Bank,160,320,230,251,249,250,-1,0.40%,"48,900",-,,
2007-01-17,SCBK,Standard Chartered Bank,160,320,232,250,247,249,-2,0.81%,"12,300",-,,
2007-01-18,SCBK,Standard Chartered Bank,160,320,230,247,239,247,-8,3.35%,"21,600",-,,
2007-01-19,SCBK,Standard Chartered Bank,160,320,231,246,237,239,-2,0.84%,"21,100",-,,
2007-01-22,SCBK,Standard Chartered Bank,160,320,230,235,233,237,-4,1.72%,"15,700",-,,
2007-01-23,SCBK,Standard Chartered Bank,160,320,225,235,230,233,-3,1.30%,"32,200",-,,
2007-01-24,SCBK,Standard Chartered Bank,160,320,230,231,230,230,-,-,"35,100",-,,
2007-01-25,SCBK,Standard Chartered Bank,160,320,218,230,223,230,-7,3.14%,"14,100",-,,
2007-01-26,SCBK,Standard Chartered Bank,160,320,208,225,216,223,-7,3.24%,"59,000",-,,
2007-01-29,SCBK,Standard Chartered Bank,160,320,212,225,217,216,1,0.46%,"50,000",-,,
2007-01-30,SCBK,Standard Chartered Bank,160,320,214,220,215,217,-2,0.93%,"44,500",-,,
