Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2008-04-23,SCOM,Safaricom,3.1,6.6,5,5,5,29.75,-24.75,495.00%,0,,,-
2008-06-09,SCOM,Safaricom,3.1,6.6,6.95,8,7.35,5,2.35,31.97%,"416,380,000",,,-
2008-06-10,SCOM,Safaricom,3.1,6.6,6.65,8,6.95,7.35,-0.4,5.76%,"127,310,000",,,-
2008-06-11,SCOM,Safaricom,3.1,6.6,6.9,7.1,6.95,6.95,-,-,"183,490,000",,,-
2008-06-12,SCOM,Safaricom,3.1,6.6,7.1,7.5,7.35,6.95,0.4,5.44%,"131,240,000",,,-
2008-06-13,SCOM,Safaricom,3.1,6.6,7,7.65,7.45,7.35,0.1,1.34%,"250,900,000",,,-
2008-06-16,SCOM,Safaricom,3.1,6.6,7.5,8.15,7.9,7.45,0.45,5.70%,"103,790,000",,,-
2008-06-17,SCOM,Safaricom,3.1,6.6,7.7,8.05,7.8,7.9,-0.1,1.28%,"121,490,000",,,-
2008-06-18,SCOM,Safaricom,3.1,6.6,7.7,7.9,7.8,7.8,-,-,"112,660,000",,,-
2008-06-19,SCOM,Safaricom,3.1,6.6,7.8,7.9,7.85,7.8,0.05,0.64%,"58,890,000",,,-
2008-06-20,SCOM,Safaricom,3.05,6.6,7.7,7.9,7.8,7.85,-0.05,0.64%,"61,270,000",,,-
2008-06-23,SCOM,Safaricom,3.1,6.6,7.75,7.9,7.8,7.8,-,-,"100,390,000",,,-
2008-06-24,SCOM,Safaricom,3.05,6.5,7.55,7.8,7.7,7.8,-0.1,1.30%,"56,940,000",,,-
2008-06-25,SCOM,Safaricom,3.1,6.6,7.4,7.7,7.55,7.7,-0.15,1.99%,"68,550,000",,,-
2008-06-26,SCOM,Safaricom,3.1,6.6,7.05,7.5,7.25,7.55,-0.3,4.14%,"56,220,000",,,-
2008-06-27,SCOM,Safaricom,3.1,6.6,7.2,7.4,7.25,7.25,-,-,"77,780,000",,,-
2008-06-30,SCOM,Safaricom,3.1,6.6,7.3,7.55,7.4,7.25,0.15,2.03%,"36,380,000",,,-
2008-07-01,SCOM,Safaricom,3.1,6.6,7.25,7.5,7.35,7.4,-0.05,0.68%,"41,090,000",,,-
2008-07-02,SCOM,Safaricom,3.1,6.6,7.2,7.5,7.25,7.35,-0.1,1.38%,"60,290,000",,,-
2008-07-03,SCOM,Safaricom,3.1,6.6,7,7.4,7.2,7.25,-0.05,0.69%,"47,490,000",,,-
2008-07-04,SCOM,Safaricom,3.1,6.6,7.05,7.2,7.1,7.2,-0.1,1.41%,"25,270,000",,,-
2008-07-07,SCOM,Safaricom,3.1,6.6,6.95,7.2,7.05,7.1,-0.05,0.71%,"29,580,000",,,-
2008-07-08,SCOM,Safaricom,3.1,6.6,6.85,7,6.9,7.05,-0.15,2.17%,"21,290,000",,,-
2008-07-09,SCOM,Safaricom,3.1,6.6,6.75,7,6.8,6.9,-0.1,1.47%,"33,550,000",,,-
2008-07-10,SCOM,Safaricom,3.1,6.6,6.8,7.2,6.95,6.8,0.15,2.16%,"64,660,000",,,-
2008-07-11,SCOM,Safaricom,3.1,6.6,6.85,7,6.9,6.95,-0.05,0.72%,"21,280,000",,,-
2008-07-14,SCOM,Safaricom,3.1,6.6,6.7,6.95,6.8,6.9,-0.1,1.47%,"17,920,000",,,-
2008-07-15,SCOM,Safaricom,3.1,6.6,6.55,6.8,6.7,6.8,-0.1,1.49%,"29,320,000",,,-
2008-07-16,SCOM,Safaricom,3.1,6.6,6.65,6.75,6.65,6.7,-0.05,0.75%,"30,190,000",,,-
2008-07-17,SCOM,Safaricom,3.05,6.5,6.5,6.7,6.6,6.65,-0.05,0.76%,"18,200,000",,,-
2008-07-18,SCOM,Safaricom,3.1,6.6,5.95,6.6,6.2,6.6,-0.4,6.45%,"72,490,000",,,-
2008-07-21,SCOM,Safaricom,3.1,6.6,6.2,6.5,6.3,6.2,0.1,1.59%,"21,750,000",,,-
2008-07-22,SCOM,Safaricom,3.1,6.6,6.4,6.5,6.45,6.3,0.15,2.33%,"28,310,000",,,-
