Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,SGL,Standard Group,20,39,63,66,64.5,67.5,-3,4.65%,"28,200",52.12,,
2007-01-03,SGL,Standard Group,20,39,64.5,65,64.5,64.5,-,-,"2,600",52.12,,
2007-01-04,SGL,Standard Group,20,39,64.5,66,65,64.5,0.5,0.77%,"30,800",52.53,,
2007-01-05,SGL,Standard Group,20,39,64.5,66,65.5,65,0.5,0.76%,"16,800",52.93,,
2007-01-08,SGL,Standard Group,20,39,65,72,68,65.5,2.5,3.68%,"14,300",54.95,,
2007-01-09,SGL,Standard Group,20,39,70.5,75,72,68,4,5.56%,"54,600",58.18,,
2007-01-10,SGL,Standard Group,20,39,69,76,74.5,72,2.5,3.36%,"44,600",60.2,,
2007-01-11,SGL,Standard Group,20,39,65,70.5,67,74.5,-7.5,11.19%,"11,500",54.14,,
2007-01-12,SGL,Standard Group,20,39,67,72,69.5,67,2.5,3.60%,"10,600",56.16,,
2007-01-15,SGL,Standard Group,20,39,68,72,69,69.5,-0.5,0.72%,"5,400",55.76,,
2007-01-16,SGL,Standard Group,20,39,68,70,68.5,69,-0.5,0.73%,"26,600",55.35,,
2007-01-17,SGL,Standard Group,20,39,68.5,72,69.5,68.5,1,1.44%,"15,400",56.16,,
2007-01-18,SGL,Standard Group,20,39,63,70,67.5,69.5,-2,2.96%,"35,200",54.55,,
2007-01-19,SGL,Standard Group,20,39,69,71,69.5,67.5,2,2.88%,"12,000",56.16,,
2007-01-22,SGL,Standard Group,20,39,68,70,69,69.5,-0.5,0.72%,"11,700",55.76,,
2007-01-23,SGL,Standard Group,20,39,68,70,68.5,69,-0.5,0.73%,"14,900",55.35,,
2007-01-24,SGL,Standard Group,20,39,67,69,68.5,68.5,-,-,"9,000",55.35,,
2007-01-25,SGL,Standard Group,20,39,69,70,69,68.5,0.5,0.72%,"10,800",55.76,,
2007-01-26,SGL,Standard Group,20,39,68,69,68.5,69,-0.5,0.73%,"6,900",55.35,,
2007-01-29,SGL,Standard Group,20,39,69,69,69,68.5,0.5,0.72%,"13,000",55.76,,
2007-01-30,SGL,Standard Group,20,39,66,69,68.5,69,-0.5,0.73%,"10,700",55.35,,
2007-01-31,SGL,Standard Group,20,39,68,68.5,68,68.5,-0.5,0.74%,"17,300",54.95,,
2007-02-01,SGL,Standard Group,20,39,65,68,66.5,68,-1.5,2.26%,"4,400",53.74,,
2007-02-02,SGL,Standard Group,20,39,68,69,68.5,66.5,2,2.92%,"11,100",55.35,,
2007-02-05,SGL,Standard Group,20,39,62,68.5,64,68.5,-4.5,7.03%,"15,000",51.72,,
2007-02-06,SGL,Standard Group,20,39,62,65,63,64,-1,1.59%,"7,800",50.91,,
2007-02-07,SGL,Standard Group,20,39,62.5,68,62.5,63,-0.5,0.80%,"7,100",50.51,,
