Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2013-01-02,SLAM,Sanlam Kenya Plc,13.5,20.5,40.25,40.25,40.25,40.25,-,-,"1,400",26.83,,
2013-01-03,SLAM,Sanlam Kenya Plc,12.8,20,40.25,40.25,40.25,40.25,-,-,200,26.83,,
2013-01-04,SLAM,Sanlam Kenya Plc,12.8,20,41,41,41,40.25,0.75,1.86%,200,27.33,,
2013-01-07,SLAM,Sanlam Kenya Plc,12.8,20,41,45,41,41,-,-,"14,300",27.33,,
2013-01-08,SLAM,Sanlam Kenya Plc,12.8,20,41,41,41,41,-,-,"39,400",27.33,,
2013-01-09,SLAM,Sanlam Kenya Plc,12.8,19.55,40,41,40.75,41,-0.25,0.61%,"80,300",27.17,,
2013-01-10,SLAM,Sanlam Kenya Plc,12.8,19.55,41,44.75,41.25,40.75,0.5,1.23%,"107,900",27.5,,
2013-01-11,SLAM,Sanlam Kenya Plc,12.8,20,41.5,42,41.75,41.25,0.5,1.21%,"18,300",27.83,,
2013-01-14,SLAM,Sanlam Kenya Plc,12.8,19.5,41.75,42,41.75,41.75,-,-,"3,400",27.83,,
2013-01-15,SLAM,Sanlam Kenya Plc,12.8,20,41.75,42.5,42,41.75,0.25,0.60%,"83,300",28,,
2013-01-16,SLAM,Sanlam Kenya Plc,12.8,20,42,42.5,42.25,42,0.25,0.60%,"21,400",28.17,,
2013-01-17,SLAM,Sanlam Kenya Plc,13.5,20.5,42,43,42.25,42.25,-,-,"3,000",28.17,,
2013-01-18,SLAM,Sanlam Kenya Plc,12.8,20,42,42,42,42.25,-0.25,0.59%,"4,000",28,,
2013-01-21,SLAM,Sanlam Kenya Plc,12.8,20,42,42,42,42,-,-,"14,400",28,,
2013-01-22,SLAM,Sanlam Kenya Plc,12.8,19.55,42,42,42,42,-,-,"11,300",28,,
2013-01-23,SLAM,Sanlam Kenya Plc,12.8,19.5,42.25,44,42.75,42,0.75,1.79%,"5,500",28.5,,
2013-01-24,SLAM,Sanlam Kenya Plc,13.5,20.5,42.75,42.75,42.75,42.75,-,-,400,28.5,,
2013-01-25,SLAM,Sanlam Kenya Plc,12.8,20,43.5,43.5,43.5,42.75,0.75,1.75%,100,29,,
2013-01-28,SLAM,Sanlam Kenya Plc,12.8,20,43.5,43.5,43.5,43.5,-,-,-,29,,
2013-01-29,SLAM,Sanlam Kenya Plc,12.8,20,39.25,43,41.5,43.5,-2,4.60%,"11,900",27.67,,
