Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2013-01-02,SMER,Sameer Africa Plc,1.91,4.69,4.15,4.5,4.35,4.15,0.2,4.82%,"20,200",-,,
2013-01-03,SMER,Sameer Africa Plc,1.91,4.69,4.15,4.6,4.35,4.35,-,-,"151,000",-,,
2013-01-04,SMER,Sameer Africa Plc,1.91,4.69,4.35,4.5,4.45,4.35,0.1,2.30%,"12,300",-,,
2013-01-07,SMER,Sameer Africa Plc,1.91,4.69,4.35,4.5,4.45,4.45,-,-,"435,200",-,,
2013-01-08,SMER,Sameer Africa Plc,1.91,4.69,4.5,4.85,4.55,4.45,0.1,2.25%,"80,400",-,,
2013-01-09,SMER,Sameer Africa Plc,1.91,4.69,4.5,5,4.6,4.55,0.05,1.10%,"166,100",-,,
2013-01-10,SMER,Sameer Africa Plc,1.91,4.69,4.5,4.65,4.55,4.6,-0.05,1.09%,"23,900",-,,
2013-01-11,SMER,Sameer Africa Plc,1.91,4.69,4.5,4.9,4.6,4.55,0.05,1.10%,"28,000",-,,
2013-01-14,SMER,Sameer Africa Plc,1.91,4.69,4.6,5,4.75,4.6,0.15,3.26%,"47,000",-,,
2013-01-15,SMER,Sameer Africa Plc,1.91,4.69,4.6,4.85,4.75,4.75,-,-,"17,300",-,,
2013-01-16,SMER,Sameer Africa Plc,1.91,4.69,4.5,4.8,4.65,4.75,-0.1,2.11%,"12,100",-,,
2013-01-17,SMER,Sameer Africa Plc,1.91,4.69,4.4,4.45,4.4,4.65,-0.25,5.38%,"12,200",-,,
2013-01-18,SMER,Sameer Africa Plc,1.91,4.69,4.25,4.7,4.55,4.4,0.15,3.41%,"149,500",-,,
2013-01-21,SMER,Sameer Africa Plc,1.91,4.69,4.5,4.5,4.5,4.55,-0.05,1.10%,"29,600",-,,
2013-01-22,SMER,Sameer Africa Plc,1.91,4.69,4.3,4.9,4.4,4.5,-0.1,2.22%,"26,600",-,,
2013-01-23,SMER,Sameer Africa Plc,1.91,4.69,4.4,4.5,4.45,4.4,0.05,1.14%,"58,100",-,,
