Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,TOTL,Total Kenya,12.65,18,33,35,34.5,34.25,0.25,0.72%,800,-,,
2007-01-03,TOTL,Total Kenya,12.65,18,34.5,36,35,34.5,0.5,1.43%,"1,400",-,,
2007-01-04,TOTL,Total Kenya,12.65,18,33,36,35.75,35,0.75,2.10%,"26,900",-,,
2007-01-05,TOTL,Total Kenya,12.65,18,34,36.5,35.75,35.75,-,-,"31,000",-,,
2007-01-08,TOTL,Total Kenya,12.65,18,34,37,35.75,35.75,-,-,"36,800",-,,
2007-01-09,TOTL,Total Kenya,12.65,18,34,37,35.5,35.75,-0.25,0.70%,"75,700",-,,
2007-01-10,TOTL,Total Kenya,12.65,18,36,37.5,36.75,35.5,1.25,3.40%,"74,700",-,,
2007-01-11,TOTL,Total Kenya,12.65,18,37,39,37.25,36.75,0.5,1.34%,"86,700",-,,
2007-01-12,TOTL,Total Kenya,12.65,18,37,38.25,37,37.25,-0.25,0.68%,"73,200",-,,
2007-01-15,TOTL,Total Kenya,12.65,18,35.5,37,36.5,37,-0.5,1.37%,"66,000",-,,
2007-01-16,TOTL,Total Kenya,12.65,18,33,37,35.25,36.5,-1.25,3.55%,"74,700",-,,
2007-01-17,TOTL,Total Kenya,12.65,18,34,37,35.5,35.25,0.25,0.70%,"14,100",-,,
2007-01-18,TOTL,Total Kenya,12.65,18,35,36,35.5,35.5,-,-,"27,200",-,,
2007-01-19,TOTL,Total Kenya,12.65,18,35,36,35,35.5,-0.5,1.43%,"52,400",-,,
2007-01-22,TOTL,Total Kenya,12.65,18,35,36,35.25,35,0.25,0.71%,"71,700",-,,
2007-01-23,TOTL,Total Kenya,12.65,18,34,36,35.75,35.25,0.5,1.40%,"8,500",-,,
2007-01-24,TOTL,Total Kenya,12.65,18,34,36,35.25,35.75,-0.5,1.42%,"36,800",-,,
2007-01-25,TOTL,Total Kenya,12.65,18,35,36,35,35.25,-0.25,0.71%,"54,100",-,,
2007-01-26,TOTL,Total Kenya,12.65,18,32.75,36,34.25,35,-0.75,2.19%,"52,700",-,,
2007-01-29,TOTL,Total Kenya,12.65,18,34,35,34.75,34.25,0.5,1.44%,"21,400",-,,
2007-01-30,TOTL,Total Kenya,12.65,18,34,34.5,34,34.75,-0.75,2.21%,"34,700",-,,
2007-01-31,TOTL,Total Kenya,12.65,18,32.5,34,33,34,-1,3.03%,"25,200",-,,
2007-02-01,TOTL,Total Kenya,12.65,18,33,34,33.75,33,0.75,2.22%,"8,100",-,,
2007-02-02,TOTL,Total Kenya,12.65,18,30.75,33.75,32.75,33.75,-1,3.05%,"5,400",-,,
2007-02-05,TOTL,Total Kenya,12.65,18,32,34,33,32.75,0.25,0.76%,"26,300",-,,
2007-02-06,TOTL,Total Kenya,12.65,18,31,33,32.5,33,-0.5,1.54%,"20,700",-,,
2007-02-07,TOTL,Total Kenya,12.65,18,32,34,32.75,32.5,0.25,0.76%,"26,700",-,,
2007-02-08,TOTL,Total Kenya,12.65,18,30,33.5,32.75,32.75,-,-,"23,000",-,,
2007-02-09,TOTL,Total Kenya,12.65,18,33,34,33.5,32.75,0.75,2.24%,"29,300",-,,
2007-02-12,TOTL,Total Kenya,12.65,18,32.25,34,33.25,33.5,-0.25,0.75%,"57,200",-,,
2007-02-13,TOTL,Total Kenya,12.65,18,32,36.5,33,33.25,-0.25,0.76%,"66,900",-,,
2007-02-14,TOTL,Total Kenya,12.65,18,32.75,33,32.75,33,-0.25,0.76%,"10,400",-,,
2007-02-15,TOTL,Total Kenya,12.65,18,32.5,33,32.5,32.75,-0.25,0.77%,"5,400",-,,
2007-02-16,TOTL,Total Kenya,12.65,18,31.5,32.5,31.75,32.5,-0.75,2.36%,"3,900",-,,
2007-02-19,TOTL,Total Kenya,12.65,18,31.5,32,31.5,31.75,-0.25,0.79%,"25,600",-,,
2007-02-20,TOTL,Total Kenya,12.65,18,30,31.5,31,31.5,-0.5,1.61%,"7,200",-,,
2007-02-21,TOTL,Total Kenya,12.65,18,30,30.5,30,31,-1,3.33%,"50,700",-,,
2007-02-22,TOTL,Total Kenya,12.65,18,29,32,30,30,-,-,"119,100",-,,
2007-02-23,TOTL,Total Kenya,12.65,18,29,30,29.75,30,-0.25,0.84%,"16,800",-,,
2007-02-26,TOTL,Total Kenya,12.65,18,29,30,29.5,29.75,-0.25,0.85%,"8,600",-,,
2007-02-27,TOTL,Total Kenya,12.65,18,29,30,29.75,29.5,0.25,0.84%,"56,300",-,,
2007-02-28,TOTL,Total Kenya,12.65,18,29,30,29,29.75,-0.75,2.59%,"60,900",-,,
2007-03-01,TOTL,Total Kenya,12.65,18,28,30,28.75,29,-0.25,0.87%,"17,300",-,,
2007-03-02,TOTL,Total Kenya,12.65,18,29,29.5,29,28.75,0.25,0.86%,"10,200",-,,
2007-03-05,TOTL,Total Kenya,12.65,18,29.5,30,29.5,29,0.5,1.69%,"128,200",-,,
2007-03-06,TOTL,Total Kenya,12.65,18,30,33,31.75,29.5,2.25,7.09%,"4,400",-,,
2007-03-07,TOTL,Total Kenya,12.65,18,29,30,29.25,31.75,-2.5,8.55%,"218,800",-,,
