Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,TPSE,TPS Eastern Africa (Serena),36,56.5,86,88,86.5,87,-0.5,0.58%,"2,500",61.79,,
2007-01-03,TPSE,TPS Eastern Africa (Serena),36,56.5,86,87,86,86.5,-0.5,0.58%,"4,400",61.43,,
2007-01-04,TPSE,TPS Eastern Africa (Serena),36,56.5,82,90,88.5,86,2.5,2.82%,"70,100",63.21,,
2007-01-05,TPSE,TPS Eastern Africa (Serena),36,56.5,85,88.5,87,88.5,-1.5,1.72%,"120,100",62.14,,
2007-01-08,TPSE,TPS Eastern Africa (Serena),36,56.5,86,89,86.5,87,-0.5,0.58%,"53,700",61.79,,
2007-01-09,TPSE,TPS Eastern Africa (Serena),36,56.5,86,90,88,86.5,1.5,1.70%,"80,400",62.86,,
2007-01-10,TPSE,TPS Eastern Africa (Serena),36,56.5,86.5,88,87,88,-1,1.15%,"13,800",62.14,,
2007-01-11,TPSE,TPS Eastern Africa (Serena),36,56.5,87,90,89.5,87,2.5,2.79%,"67,400",63.93,,
2007-01-12,TPSE,TPS Eastern Africa (Serena),36,56.5,89.5,91,90,89.5,0.5,0.56%,"74,000",64.29,,
2007-01-15,TPSE,TPS Eastern Africa (Serena),36,56.5,89,95,93,90,3,3.23%,"48,500",66.43,,
2007-01-16,TPSE,TPS Eastern Africa (Serena),36,56.5,92.5,100,96.5,93,3.5,3.63%,"123,800",68.93,,
2007-01-17,TPSE,TPS Eastern Africa (Serena),36,56.5,95,100,99,96.5,2.5,2.53%,"140,600",70.71,,
2007-01-18,TPSE,TPS Eastern Africa (Serena),36,56.5,96.5,100,98.5,99,-0.5,0.51%,"48,700",70.36,,
2007-01-19,TPSE,TPS Eastern Africa (Serena),36,56.5,96.5,99,98.5,98.5,-,-,"71,300",70.36,,
2007-01-22,TPSE,TPS Eastern Africa (Serena),36,56.5,92,97,95,98.5,-3.5,3.68%,"78,700",67.86,,
2007-01-23,TPSE,TPS Eastern Africa (Serena),36,56.5,92,95,94,95,-1,1.06%,"16,900",67.14,,
2007-01-24,TPSE,TPS Eastern Africa (Serena),36,56.5,91,95,93.5,94,-0.5,0.53%,"31,700",66.79,,
2007-01-25,TPSE,TPS Eastern Africa (Serena),36,56.5,90,94,92,93.5,-1.5,1.63%,"22,900",65.71,,
2007-01-26,TPSE,TPS Eastern Africa (Serena),36,56.5,92.5,96,93.5,92,1.5,1.60%,"40,600",66.79,,
2007-01-29,TPSE,TPS Eastern Africa (Serena),36,56.5,91,95,92.5,93.5,-1,1.08%,"79,300",66.07,,
2007-01-30,TPSE,TPS Eastern Africa (Serena),36,56.5,85,94,90.5,92.5,-2,2.21%,"54,600",64.64,,
2007-01-31,TPSE,TPS Eastern Africa (Serena),36,56.5,85,90,89.5,90.5,-1,1.12%,"87,600",63.93,,
2007-02-01,TPSE,TPS Eastern Africa (Serena),36,56.5,88,93,89,89.5,-0.5,0.56%,"7,600",63.57,,
2007-02-02,TPSE,TPS Eastern Africa (Serena),36,56.5,88,89,88.5,89,-0.5,0.56%,"13,100",63.21,,
2007-02-05,TPSE,TPS Eastern Africa (Serena),36,56.5,88,88.5,88,88.5,-0.5,0.57%,"15,000",62.86,,
2007-02-06,TPSE,TPS Eastern Africa (Serena),36,56.5,85,88,86.5,88,-1.5,1.73%,"9,100",61.79,,
2007-02-07,TPSE,TPS Eastern Africa (Serena),36,56.5,86.5,89,88,86.5,1.5,1.70%,"26,300",62.86,,
2007-02-08,TPSE,TPS Eastern Africa (Serena),36,56.5,87,91,89.5,88,1.5,1.68%,"17,000",63.93,,
2007-02-09,TPSE,TPS Eastern Africa (Serena),36,56.5,89.5,91,90,89.5,0.5,0.56%,"14,500",64.29,,
2007-02-12,TPSE,TPS Eastern Africa (Serena),36,56.5,89,92,90.5,90,0.5,0.55%,"90,800",64.64,,
2007-02-13,TPSE,TPS Eastern Africa (Serena),36,56.5,90,94,91.5,90.5,1,1.09%,"56,900",65.36,,
2007-02-14,TPSE,TPS Eastern Africa (Serena),36,56.5,90,96,92,91.5,0.5,0.54%,"15,100",65.71,,
2007-02-15,TPSE,TPS Eastern Africa (Serena),36,56.5,90,94,90.5,92,-1.5,1.66%,"26,600",64.64,,
2007-02-16,TPSE,TPS Eastern Africa (Serena),36,56.5,91,92,91,90.5,0.5,0.55%,"40,600",65,,
2007-02-19,TPSE,TPS Eastern Africa (Serena),36,56.5,91,91,91,91,-,-,"1,200",65,,
2007-02-20,TPSE,TPS Eastern Africa (Serena),36,56.5,90,92,91,91,-,-,"47,400",65,,
2007-02-21,TPSE,TPS Eastern Africa (Serena),36,56.5,90,91,90,91,-1,1.11%,"10,300",64.29,,
2007-02-22,TPSE,TPS Eastern Africa (Serena),36,56.5,89,93,90,90,-,-,"21,600",64.29,,
2007-02-23,TPSE,TPS Eastern Africa (Serena),36,56.5,89,91,89.5,90,-0.5,0.56%,"14,600",63.93,,
2007-02-26,TPSE,TPS Eastern Africa (Serena),36,56.5,87,90,88.5,89.5,-1,1.13%,"68,900",63.21,,
2007-02-27,TPSE,TPS Eastern Africa (Serena),36,56.5,85,89,85,88.5,-3.5,4.12%,"9,300",60.71,,
2007-02-28,TPSE,TPS Eastern Africa (Serena),36,56.5,80,85,83,85,-2,2.41%,"3,200",59.29,,
2007-03-01,TPSE,TPS Eastern Africa (Serena),36,56.5,72,80,75.5,83,-7.5,9.93%,"5,500",53.93,,
2007-03-02,TPSE,TPS Eastern Africa (Serena),36,56.5,75,80,78.5,75.5,3,3.82%,"11,500",56.07,,
2007-03-05,TPSE,TPS Eastern Africa (Serena),36,56.5,80,85,82.5,78.5,4,4.85%,"5,200",58.93,,
2007-03-06,TPSE,TPS Eastern Africa (Serena),36,56.5,76,83,81.5,82.5,-1,1.23%,"3,800",58.21,,
2007-03-07,TPSE,TPS Eastern Africa (Serena),36,56.5,80,85,83.5,81.5,2,2.40%,"7,300",59.64,,
2007-03-08,TPSE,TPS Eastern Africa (Serena),36,56.5,82,84.5,84,83.5,0.5,0.60%,"6,600",60,,
2007-03-09,TPSE,TPS Eastern Africa (Serena),36,56.5,80,85,82,84,-2,2.44%,"30,700",58.57,,
2007-03-12,TPSE,TPS Eastern Africa (Serena),36,56.5,84,84.5,84,82,2,2.38%,"6,100",60,,
2007-03-13,TPSE,TPS Eastern Africa (Serena),36,56.5,82,88,84,84,-,-,"17,800",60,,
2007-03-14,TPSE,TPS Eastern Africa (Serena),36,56.5,85,87.5,85,84,1,1.18%,"26,300",60.71,,
2007-03-15,TPSE,TPS Eastern Africa (Serena),36,56.5,84,87,84.5,85,-0.5,0.59%,"109,000",60.36,,
2007-03-16,TPSE,TPS Eastern Africa (Serena),36,56.5,82,87,84.5,84.5,-,-,"30,700",60.36,,
2007-03-19,TPSE,TPS Eastern Africa (Serena),36,56.5,80,83,81,84.5,-3.5,4.32%,"7,200",57.86,,
