Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2013-07-31,UMME,Umeme Ltd,5.68,8.6,13,13,13,-,13,-,"1,000",-,,
2013-08-01,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-02,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-05,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-06,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-07,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-08,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-12,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-13,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-14,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-15,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-16,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-19,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-20,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-21,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-22,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-23,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-26,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-27,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-28,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-29,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-08-30,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-02,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-03,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-04,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-05,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-06,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-09,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-10,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-11,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-12,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-13,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-16,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-17,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-18,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-19,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-20,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-23,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-24,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-25,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-26,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-27,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-09-30,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-02,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-03,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-04,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-07,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-08,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-09,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-10,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-11,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-14,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-15,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-16,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-17,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-18,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-22,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-23,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-24,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-25,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-28,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-30,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
2013-10-31,UMME,Umeme Ltd,5.68,8.6,13,13,13,13,-,-,-,-,,
