Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,UNGA,Unga Group,9.6,16.5,17,18.5,17.85,18,-0.15,0.84%,"10,700",14.88,,
2007-01-03,UNGA,Unga Group,9.9,16.5,17.8,18.5,17.8,17.85,-0.05,0.28%,"3,200",14.83,,
2007-01-04,UNGA,Unga Group,9.6,16.5,17.5,18.5,18.4,17.8,0.6,3.26%,"33,800",15.33,,
2007-01-05,UNGA,Unga Group,9.9,16.5,17.5,19,18.25,18.4,-0.15,0.82%,"16,100",15.21,,
2007-01-08,UNGA,Unga Group,9.9,16.5,18.5,19,18.95,18.25,0.7,3.69%,"48,800",15.79,,
2007-01-09,UNGA,Unga Group,9.9,16.5,17.85,19.5,18.9,18.95,-0.05,0.26%,"48,000",15.75,,
2007-01-10,UNGA,Unga Group,9.9,16.5,17.5,19.5,18.9,18.9,-,-,"21,500",15.75,,
2007-01-11,UNGA,Unga Group,9.9,16.5,18,19.5,18.6,18.9,-0.3,1.61%,"78,100",15.5,,
2007-01-12,UNGA,Unga Group,9.9,16.5,19,20,19.6,18.6,1,5.10%,"56,500",16.33,,
2007-01-15,UNGA,Unga Group,9.9,16.5,18,20,19.6,19.6,-,-,"72,400",16.33,,
2007-01-16,UNGA,Unga Group,9.9,16.5,19,20.5,19.9,19.6,0.3,1.51%,"50,600",16.58,,
2007-01-17,UNGA,Unga Group,9.9,16.5,19,20,19.5,19.9,-0.4,2.05%,"61,000",16.25,,
2007-01-18,UNGA,Unga Group,9.6,16.5,18.5,20,19.15,19.5,-0.35,1.83%,"33,200",15.96,,
2007-01-19,UNGA,Unga Group,9.9,16.5,18.55,19.5,19.05,19.15,-0.1,0.52%,"35,100",15.88,,
2007-01-22,UNGA,Unga Group,9.9,16.5,18.9,19.95,19.25,19.05,0.2,1.04%,"12,400",16.04,,
2007-01-23,UNGA,Unga Group,9.9,16.5,18.55,19.85,19.2,19.25,-0.05,0.26%,"33,700",16,,
2007-01-24,UNGA,Unga Group,9.9,16.5,18.55,19,18.9,19.2,-0.3,1.59%,"2,300",15.75,,
2007-01-25,UNGA,Unga Group,9.9,16.5,18.55,19.9,18.6,18.9,-0.3,1.61%,"26,000",15.5,,
2007-01-26,UNGA,Unga Group,9.9,16.5,18.55,19,18.55,18.6,-0.05,0.27%,"4,900",15.46,,
2007-01-29,UNGA,Unga Group,9.9,16.5,18.5,19.2,18.95,18.55,0.4,2.11%,"29,500",15.79,,
2007-01-30,UNGA,Unga Group,9.9,16.5,18.6,19.5,18.85,18.95,-0.1,0.53%,"42,000",15.71,,
2007-01-31,UNGA,Unga Group,9.9,16.5,18,18.7,18.35,18.85,-0.5,2.72%,"38,500",15.29,,
2007-02-01,UNGA,Unga Group,9.6,16.5,18,19,18.4,18.35,0.05,0.27%,"37,800",15.33,,
2007-02-02,UNGA,Unga Group,9.6,16.5,18.1,19,18.15,18.4,-0.25,1.38%,"1,300",15.13,,
2007-02-05,UNGA,Unga Group,9.9,16.5,18,18.15,18.05,18.15,-0.1,0.55%,"12,300",15.04,,
2007-02-06,UNGA,Unga Group,9.9,16.5,17,18.1,17.75,18.05,-0.3,1.69%,"24,700",14.79,,
2007-02-07,UNGA,Unga Group,9.9,16.5,17.55,18.1,17.8,17.75,0.05,0.28%,"24,400",14.83,,
2007-02-08,UNGA,Unga Group,9.9,16.5,16.5,18,17.3,17.8,-0.5,2.89%,"96,700",14.42,,
2007-02-09,UNGA,Unga Group,9.9,16.5,17,17.1,17,17.3,-0.3,1.76%,"70,400",14.17,,
2007-02-12,UNGA,Unga Group,9.9,16.5,17,18.75,17.75,17,0.75,4.23%,"78,500",14.79,,
2007-02-13,UNGA,Unga Group,9.9,16.5,17.05,19,18.5,17.75,0.75,4.05%,"34,400",15.42,,
2007-02-14,UNGA,Unga Group,9.9,16.5,17.05,18,17.9,18.5,-0.6,3.35%,"9,200",14.92,,
2007-02-15,UNGA,Unga Group,9.9,16.5,17,18,17.2,17.9,-0.7,4.07%,"6,800",14.33,,
2007-02-16,UNGA,Unga Group,9.9,16.5,17,18,17.75,17.2,0.55,3.10%,"16,300",14.79,,
2007-02-19,UNGA,Unga Group,9.9,16.5,17,17,17,17.75,-0.75,4.41%,"21,200",14.17,,
2007-02-20,UNGA,Unga Group,9.9,16.5,17,17.2,17.05,17,0.05,0.29%,"9,300",14.21,,
