Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,UTK,Unilever Tea Kenya,45,45,80,82,81,81.5,-0.5,0.62%,"1,000",-,,
2007-01-03,UTK,Unilever Tea Kenya,45,45,80,80,80,81,-1,1.25%,"7,000",-,,
2007-01-04,UTK,Unilever Tea Kenya,45,45,82,82,82,80,2,2.44%,"8,800",-,,
2007-01-05,UTK,Unilever Tea Kenya,45,45,80,82,80.5,82,-1.5,1.86%,"2,000",-,,
2007-01-08,UTK,Unilever Tea Kenya,45,45,82,82,82,80.5,1.5,1.83%,900,-,,
2007-01-10,UTK,Unilever Tea Kenya,45,45,85,85,85,82,3,3.53%,"4,900",-,,
2007-01-11,UTK,Unilever Tea Kenya,45,45,82,86,84.5,85,-0.5,0.59%,"1,900",-,,
2007-01-12,UTK,Unilever Tea Kenya,45,45,85,86,85.5,84.5,1,1.17%,"1,100",-,,
2007-01-15,UTK,Unilever Tea Kenya,45,45,86,86,86,85.5,0.5,0.58%,400,-,,
2007-01-17,UTK,Unilever Tea Kenya,45,45,86,88,86,86,-,-,"1,600",-,,
2007-01-18,UTK,Unilever Tea Kenya,45,45,88,88,88,86,2,2.27%,"2,900",-,,
2007-01-19,UTK,Unilever Tea Kenya,45,45,90,90,90,88,2,2.22%,"1,000",-,,
2007-01-22,UTK,Unilever Tea Kenya,45,45,90,90,90,90,-,-,"5,100",-,,
2007-01-23,UTK,Unilever Tea Kenya,45,45,87,90,89.5,90,-0.5,0.56%,"3,200",-,,
2007-01-24,UTK,Unilever Tea Kenya,45,45,90,90,90,89.5,0.5,0.56%,"1,500",-,,
2007-01-25,UTK,Unilever Tea Kenya,45,45,90,90,90,90,-,-,"5,500",-,,
2007-01-26,UTK,Unilever Tea Kenya,45,45,90,94,91,90,1,1.10%,"1,900",-,,
2007-01-29,UTK,Unilever Tea Kenya,45,45,90,92,90.5,91,-0.5,0.55%,700,-,,
2007-01-30,UTK,Unilever Tea Kenya,45,45,92,92,92,90.5,1.5,1.63%,300,-,,
2007-01-31,UTK,Unilever Tea Kenya,45,45,90,90.5,90,92,-2,2.22%,"2,400",-,,
2007-02-01,UTK,Unilever Tea Kenya,45,45,90,92,90,90,-,-,"2,200",-,,
2007-02-02,UTK,Unilever Tea Kenya,45,45,90,90,90,90,-,-,400,-,,
2007-02-05,UTK,Unilever Tea Kenya,45,45,92,92,92,90,2,2.17%,100,-,,
2007-02-06,UTK,Unilever Tea Kenya,45,45,90,90,90,92,-2,2.22%,300,-,,
2007-02-07,UTK,Unilever Tea Kenya,45,45,82,90.5,88,90,-2,2.27%,"1,400",-,,
2007-02-08,UTK,Unilever Tea Kenya,45,45,87,87,87,88,-1,1.15%,200,-,,
2007-02-09,UTK,Unilever Tea Kenya,45,45,90,90,90,87,3,3.33%,"4,600",-,,
2007-02-12,UTK,Unilever Tea Kenya,45,45,90,92,90.5,90,0.5,0.55%,"4,000",-,,
2007-02-13,UTK,Unilever Tea Kenya,45,45,90,90,90,90.5,-0.5,0.56%,"1,600",-,,
2007-02-14,UTK,Unilever Tea Kenya,45,45,90,91,90,90,-,-,"2,400",-,,
2007-02-15,UTK,Unilever Tea Kenya,45,45,90,90,90,90,-,-,"1,000",-,,
2007-02-16,UTK,Unilever Tea Kenya,45,45,90,90.5,90,90,-,-,"5,200",-,,
2007-02-19,UTK,Unilever Tea Kenya,45,45,90,94,91,90,1,1.10%,600,-,,
2007-02-21,UTK,Unilever Tea Kenya,45,45,91,91,91,91,-,-,"1,000",-,,
2007-02-22,UTK,Unilever Tea Kenya,45,45,90,95,90.5,91,-0.5,0.55%,"7,700",-,,
2007-02-26,UTK,Unilever Tea Kenya,45,45,91,91,91,90.5,0.5,0.55%,200,-,,
2007-02-27,UTK,Unilever Tea Kenya,45,45,90,90,90,91,-1,1.11%,"2,900",-,,
2007-02-28,UTK,Unilever Tea Kenya,45,45,91,91,91,90,1,1.10%,"5,100",-,,
2007-03-01,UTK,Unilever Tea Kenya,45,45,89,90,89,91,-2,2.25%,"6,000",-,,
2007-03-05,UTK,Unilever Tea Kenya,45,45,85,85,85,89,-4,4.71%,500,-,,
2007-03-08,UTK,Unilever Tea Kenya,45,45,85,90,86,85,1,1.16%,400,-,,
2007-03-09,UTK,Unilever Tea Kenya,45,45,82,85,83.5,86,-2.5,2.99%,400,-,,
2007-03-13,UTK,Unilever Tea Kenya,45,45,82,82,82,83.5,-1.5,1.83%,800,-,,
2007-03-19,UTK,Unilever Tea Kenya,45,45,77,77,77,82,-5,6.49%,100,-,,
2007-03-20,UTK,Unilever Tea Kenya,45,45,70,70,70,77,-7,10.00%,"2,000",-,,
2007-03-21,UTK,Unilever Tea Kenya,45,45,70,70,70,70,-,-,"1,500",-,,
2007-03-22,UTK,Unilever Tea Kenya,45,45,70,70,70,70,-,-,200,-,,
2007-03-23,UTK,Unilever Tea Kenya,45,45,70,70,70,70,-,-,"1,100",-,,
2007-03-27,UTK,Unilever Tea Kenya,45,45,68,68,68,70,-2,2.94%,100,-,,
2007-03-28,UTK,Unilever Tea Kenya,45,45,70,70,70,68,2,2.86%,900,-,,
2007-03-29,UTK,Unilever Tea Kenya,45,45,68,70,69,70,-1,1.45%,900,-,,
2007-04-02,UTK,Unilever Tea Kenya,45,45,75,75,75,69,6,8.00%,100,-,,
2007-04-03,UTK,Unilever Tea Kenya,45,45,75,75,75,75,-,-,100,-,,
2007-04-04,UTK,Unilever Tea Kenya,45,45,75,75,75,75,-,-,100,-,,
2007-04-11,UTK,Unilever Tea Kenya,45,45,70,70,70,75,-5,7.14%,700,-,,
2007-04-12,UTK,Unilever Tea Kenya,45,45,68,70,68,70,-2,2.94%,"10,300",-,,
2007-04-13,UTK,Unilever Tea Kenya,45,45,71,71,71,68,3,4.23%,"2,000",-,,
2007-04-16,UTK,Unilever Tea Kenya,45,45,70,70,70,71,-1,1.43%,700,-,,
2007-04-17,UTK,Unilever Tea Kenya,45,45,70,70,70,70,-,-,200,-,,
2007-04-19,UTK,Unilever Tea Kenya,45,45,70,75,72.5,70,2.5,3.45%,600,-,,
2007-04-23,UTK,Unilever Tea Kenya,45,45,72.5,72.5,72.5,72.5,-,-,100,-,,
2007-04-24,UTK,Unilever Tea Kenya,45,45,75,75,75,72.5,2.5,3.33%,"1,300",-,,
2007-05-02,UTK,Unilever Tea Kenya,45,45,72.5,75,72.5,75,-2.5,3.45%,"2,000",-,,
2007-05-03,UTK,Unilever Tea Kenya,45,45,70,72.5,70.5,72.5,-2,2.84%,"5,200",-,,
2007-05-04,UTK,Unilever Tea Kenya,45,45,69,72.5,70,70.5,-0.5,0.71%,"9,000",-,,
2007-05-07,UTK,Unilever Tea Kenya,45,45,75,75,75,70,5,6.67%,700,-,,
2007-05-08,UTK,Unilever Tea Kenya,45,45,75,75,75,75,-,-,"3,300",-,,
2007-05-09,UTK,Unilever Tea Kenya,45,45,75,75,75,75,-,-,"2,200",-,,
2007-05-10,UTK,Unilever Tea Kenya,45,45,75,75,75,75,-,-,"1,200",-,,
2007-05-11,UTK,Unilever Tea Kenya,45,45,75,75,75,75,-,-,100,-,,
2007-05-14,UTK,Unilever Tea Kenya,45,45,80,80,80,75,5,6.25%,200,-,,
2007-05-15,UTK,Unilever Tea Kenya,45,45,80,80,80,80,-,-,"1,800",-,,
2007-05-16,UTK,Unilever Tea Kenya,45,45,80,80,80,80,-,-,600,-,,
2007-05-17,UTK,Unilever Tea Kenya,45,45,80,80,80,80,-,-,"1,300",-,,
2007-05-21,UTK,Unilever Tea Kenya,45,45,80,80,80,80,-,-,"1,400",-,,
2007-05-23,UTK,Unilever Tea Kenya,45,45,80,80,80,80,-,-,400,-,,
2007-05-24,UTK,Unilever Tea Kenya,45,45,80,80,80,80,-,-,"3,000",-,,
2007-05-28,UTK,Unilever Tea Kenya,45,45,80,80,80,80,-,-,100,-,,
2007-05-29,UTK,Unilever Tea Kenya,45,45,75,75,75,80,-5,6.67%,200,-,,
2007-05-30,UTK,Unilever Tea Kenya,45,45,75,75,75,75,-,-,200,-,,
2007-05-31,UTK,Unilever Tea Kenya,45,45,75,75,75,75,-,-,"6,200",-,,
2007-06-05,UTK,Unilever Tea Kenya,45,45,75,75,75,75,-,-,500,-,,
2007-06-07,UTK,Unilever Tea Kenya,45,45,76,76,76,75,1,1.32%,100,-,,
2007-06-08,UTK,Unilever Tea Kenya,45,45,75,75,75,76,-1,1.33%,800,-,,
2007-06-11,UTK,Unilever Tea Kenya,45,45,75,75,75,75,-,-,100,-,,
2007-06-12,UTK,Unilever Tea Kenya,45,45,80,80,80,75,5,6.25%,100,-,,
2007-06-13,UTK,Unilever Tea Kenya,45,45,76,76,76,80,-4,5.26%,300,-,,
2007-06-15,UTK,Unilever Tea Kenya,45,45,79.5,79.5,79.5,76,3.5,4.40%,100,-,,
2007-06-18,UTK,Unilever Tea Kenya,45,45,77,77,77,79.5,-2.5,3.25%,100,-,,
2007-06-21,UTK,Unilever Tea Kenya,45,45,74,74,74,77,-3,4.05%,"2,000",-,,
2007-06-25,UTK,Unilever Tea Kenya,45,45,74,75,74.5,74,0.5,0.67%,"3,700",-,,
2007-06-28,UTK,Unilever Tea Kenya,45,45,74,80,75.5,74.5,1,1.32%,"1,000",-,,
2007-07-04,UTK,Unilever Tea Kenya,45,45,75,75,75,75.5,-0.5,0.67%,200,-,,
