Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,WTK,Williamson Tea Kenya,180,290,120,120,120,118,2,1.67%,"10,000",-,,
2007-01-03,WTK,Williamson Tea Kenya,180,290,120,120,120,120,-,-,"2,000",-,,
2007-01-04,WTK,Williamson Tea Kenya,180,290,112,112,112,120,-8,7.14%,"2,700",-,,
2007-01-05,WTK,Williamson Tea Kenya,180,290,112,113,112,112,-,-,900,-,,
2007-01-08,WTK,Williamson Tea Kenya,180,290,113,113,113,112,1,0.88%,200,-,,
2007-01-09,WTK,Williamson Tea Kenya,180,290,120,120,120,113,7,5.83%,"1,100",-,,
2007-01-10,WTK,Williamson Tea Kenya,180,290,112,112,112,120,-8,7.14%,500,-,,
2007-01-11,WTK,Williamson Tea Kenya,180,290,115,115,115,112,3,2.61%,500,-,,
2007-01-12,WTK,Williamson Tea Kenya,180,290,120,125,120,115,5,4.17%,"3,000",-,,
2007-01-15,WTK,Williamson Tea Kenya,180,290,125,130,126,120,6,4.76%,"1,300",-,,
2007-01-16,WTK,Williamson Tea Kenya,180,290,122,125,122,126,-4,3.28%,"1,700",-,,
2007-01-17,WTK,Williamson Tea Kenya,180,290,122,130,126,122,4,3.17%,"2,000",-,,
2007-01-18,WTK,Williamson Tea Kenya,180,290,130,130,130,126,4,3.08%,100,-,,
2007-01-19,WTK,Williamson Tea Kenya,180,290,128,140,129,130,-1,0.78%,"19,600",-,,
2007-01-22,WTK,Williamson Tea Kenya,180,290,140,140,140,129,11,7.86%,100,-,,
2007-01-23,WTK,Williamson Tea Kenya,180,290,141,150,147,140,7,4.76%,"1,100",-,,
2007-01-24,WTK,Williamson Tea Kenya,180,290,157,160,159,147,12,7.55%,"21,500",-,,
2007-01-25,WTK,Williamson Tea Kenya,180,290,159,165,160,159,1,0.63%,"9,600",-,,
2007-01-26,WTK,Williamson Tea Kenya,180,290,160,160,160,160,-,-,500,-,,
2007-01-29,WTK,Williamson Tea Kenya,180,290,158,159,158,160,-2,1.27%,"2,000",-,,
2007-01-30,WTK,Williamson Tea Kenya,180,290,143,143,143,158,-15,10.49%,100,-,,
2007-01-31,WTK,Williamson Tea Kenya,180,290,129,140,136,143,-7,5.15%,700,-,,
2007-02-01,WTK,Williamson Tea Kenya,180,290,130,138,130,136,-6,4.62%,"2,700",-,,
2007-02-02,WTK,Williamson Tea Kenya,180,290,122,135,128,130,-2,1.56%,900,-,,
2007-02-05,WTK,Williamson Tea Kenya,180,290,128,130,128,128,-,-,"10,600",-,,
