Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2007-01-02,XPRS,Express,3,4.4,24.25,26,25.75,24.25,1.5,5.83%,"6,000",-,,
2007-01-03,XPRS,Express,3,4.3,26,28.5,27.25,25.75,1.5,5.50%,"202,000",-,,
2007-01-04,XPRS,Express,3,4.4,26.5,29,27.5,27.25,0.25,0.91%,"54,800",-,,
2007-01-05,XPRS,Express,3,4.3,27,29,28.25,27.5,0.75,2.65%,"48,800",-,,
2007-01-08,XPRS,Express,3,4.3,27,31,29.25,28.25,1,3.42%,"58,500",-,,
2007-01-09,XPRS,Express,3,4.3,27,31,28.75,29.25,-0.5,1.74%,"35,500",-,,
2007-01-10,XPRS,Express,3,4.3,28.5,30,29,28.75,0.25,0.86%,"29,700",-,,
2007-01-11,XPRS,Express,3,4.3,28.5,31,29.75,29,0.75,2.52%,"102,000",-,,
2007-01-12,XPRS,Express,3,4.3,30,32,30.5,29.75,0.75,2.46%,"54,600",-,,
2007-01-15,XPRS,Express,3,4.3,29.25,31,30.25,30.5,-0.25,0.83%,"130,300",-,,
2007-01-16,XPRS,Express,3,4.3,27.75,31,30,30.25,-0.25,0.83%,"231,700",-,,
2007-01-17,XPRS,Express,3,4.3,28,30,28.75,30,-1.25,4.35%,"49,600",-,,
2007-01-18,XPRS,Express,3,4.4,28,30,29.25,28.75,0.5,1.71%,"54,800",-,,
2007-01-19,XPRS,Express,3,4.3,25.5,28.5,25.5,29.25,-3.75,14.71%,"193,400",-,,
2007-01-22,XPRS,Express,3,4.3,25.75,28,27.5,25.5,2,7.27%,"12,600",-,,
2007-01-23,XPRS,Express,3,4.3,28,29,28,27.5,0.5,1.79%,"10,900",-,,
2007-01-24,XPRS,Express,3,4.3,26,28,27.75,28,-0.25,0.90%,"6,400",-,,
2007-01-25,XPRS,Express,3,4.3,26,27.5,27.25,27.75,-0.5,1.83%,"2,500",-,,
2007-01-26,XPRS,Express,3,4.3,27,28,27.25,27.25,-,-,"51,000",-,,
2007-01-29,XPRS,Express,3,4.3,25,29.5,27,27.25,-0.25,0.93%,"114,200",-,,
2007-01-30,XPRS,Express,3,4.3,25,27.75,27.25,27,0.25,0.92%,"70,200",-,,
2007-01-31,XPRS,Express,3,4.3,26,27,26.25,27.25,-1,3.81%,"33,800",-,,
2007-02-01,XPRS,Express,3,4.4,24.5,27,26.25,26.25,-,-,"19,100",-,,
2007-02-02,XPRS,Express,3,4.4,25,26,25.75,26.25,-0.5,1.94%,"3,500",-,,
2007-02-05,XPRS,Express,3,4.3,26,26,26,25.75,0.25,0.96%,"18,200",-,,
2007-02-06,XPRS,Express,3,4.3,26,27,26.5,26,0.5,1.89%,"28,500",-,,
2007-02-07,XPRS,Express,3,4.3,24.75,27,25.25,26.5,-1.25,4.95%,"117,600",-,,
2007-02-08,XPRS,Express,3,4.3,24,26.5,25.25,25.25,-,-,"14,800",-,,
2007-02-09,XPRS,Express,3,4.3,25,27.5,26,25.25,0.75,2.88%,"116,300",-,,
2007-02-12,XPRS,Express,3,4.3,27,29,28.5,26,2.5,8.77%,"54,000",-,,
2007-02-13,XPRS,Express,3,4.3,27,30,28.5,28.5,-,-,"89,000",-,,
2007-02-14,XPRS,Express,3,4.3,26,29,27.75,28.5,-0.75,2.70%,"97,800",-,,
2007-02-15,XPRS,Express,3,4.3,26,26,26,27.75,-1.75,6.73%,"16,200",-,,
2007-02-16,XPRS,Express,3,4.3,26,28,27.25,26,1.25,4.59%,"19,700",-,,
2007-02-19,XPRS,Express,3,4.3,26,28,27,27.25,-0.25,0.93%,"5,400",-,,
2007-02-20,XPRS,Express,3,4.3,25,28,27.5,27,0.5,1.82%,"33,300",-,,
2007-02-21,XPRS,Express,3,4.3,27,28,27.25,27.5,-0.25,0.92%,"31,800",-,,
2007-02-22,XPRS,Express,3,4.3,27,27,27,27.25,-0.25,0.93%,"10,700",-,,
2007-02-23,XPRS,Express,3,4.3,26,27,26.75,27,-0.25,0.93%,"19,700",-,,
2007-02-26,XPRS,Express,3,4.3,26,26.25,26,26.75,-0.75,2.88%,"4,400",-,,
2007-02-27,XPRS,Express,3,4.4,26,26.5,26,26,-,-,"58,700",-,,
2007-02-28,XPRS,Express,3,4.4,25.5,26,25.75,26,-0.25,0.97%,"35,300",-,,
2007-03-01,XPRS,Express,3,4.4,25.5,25.75,25.5,25.75,-0.25,0.98%,"28,800",-,,
2007-03-02,XPRS,Express,3,4.3,25,27,25,25.5,-0.5,2.00%,"45,500",-,,
2007-03-05,XPRS,Express,3,4.4,24,26.5,25.25,25,0.25,0.99%,"26,600",-,,
2007-03-06,XPRS,Express,3,4.3,24,25,24.5,25.25,-0.75,3.06%,"4,000",-,,
2007-03-07,XPRS,Express,3,4.3,24,26,25,24.5,0.5,2.00%,"63,300",-,,
