Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2018-07-09,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,008.30","2,008.30","2,008.30",172.95,"1,835.35",1061.20%,-,-,,
2018-07-10,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,017.72","2,017.72","2,017.72","2,008.30",9.42,0.47%,-,-,,
2018-07-11,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,997.28","1,997.28","1,997.28","2,017.72",-20.44,1.01%,-,-,,
2018-07-12,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,992.43","1,992.43","1,992.43","1,997.28",-4.85,0.24%,-,-,,
2018-07-13,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,987.68","1,987.68","1,987.68","1,992.43",-4.75,0.24%,-,-,,
2018-07-16,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,983.81","1,983.81","1,983.81","1,987.68",-3.87,0.19%,-,-,,
2018-07-17,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,984.77","1,984.77","1,984.77","1,983.81",0.96,0.05%,-,-,,
2018-07-18,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,002.77","2,002.77","2,002.77","1,984.77",18,0.91%,-,-,,
2018-07-19,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,016.50","2,016.50","2,016.50","2,002.77",13.73,0.69%,-,-,,
2018-07-20,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,012.85","2,012.85","2,012.85","2,016.50",-3.65,0.18%,-,-,,
2018-07-23,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,012.13","2,012.13","2,012.13","2,012.85",-0.72,0.04%,-,-,,
2018-07-24,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,014.20","2,014.20","2,014.20","2,012.13",2.07,0.10%,-,-,,
2018-07-25,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,021.40","2,021.40","2,021.40","2,014.20",7.2,0.36%,-,-,,
2018-07-26,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,021.58","2,021.58","2,021.58","2,021.40",0.18,0.01%,-,-,,
2018-07-27,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,020.03","2,020.03","2,020.03","2,021.58",-1.55,0.08%,-,-,,
2018-07-30,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,015.14","2,015.14","2,015.14","2,020.03",-4.89,0.24%,-,-,,
2018-07-31,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,990.53","1,990.53","1,990.53","2,015.14",-24.61,1.22%,-,-,,
2018-08-01,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,995.17","1,995.17","1,995.17","1,990.53",4.64,0.23%,-,-,,
2018-08-02,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,005.52","2,005.52","2,005.52","1,995.17",10.35,0.52%,-,-,,
2018-08-03,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,013.92","2,013.92","2,013.92","2,005.52",8.4,0.42%,-,-,,
2018-08-06,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,010.67","2,010.67","2,010.67","2,013.92",-3.25,0.16%,-,-,,
2018-08-07,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,018.80","2,018.80","2,018.80","2,010.67",8.13,0.40%,-,-,,
2018-08-08,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,039.12","2,039.12","2,039.12","2,018.80",20.32,1.01%,-,-,,
2018-08-09,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,045.52","2,045.52","2,045.52","2,039.12",6.4,0.31%,-,-,,
2018-08-10,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,044.43","2,044.43","2,044.43","2,045.52",-1.09,0.05%,-,-,,
2018-08-13,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,047.32","2,047.32","2,047.32","2,044.43",2.89,0.14%,-,-,,
2018-08-14,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,052.77","2,052.77","2,052.77","2,047.32",5.45,0.27%,-,-,,
2018-08-15,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,037.71","2,037.71","2,037.71","2,052.77",-15.06,0.73%,-,-,,
2018-08-16,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,021.34","2,021.34","2,021.34","2,037.71",-16.37,0.80%,-,-,,
2018-08-17,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,028.17","2,028.17","2,028.17","2,021.34",6.83,0.34%,-,-,,
2018-08-20,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,020.08","2,020.08","2,020.08","2,028.17",-8.09,0.40%,-,-,,
2018-08-22,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,009.54","2,009.54","2,009.54","2,020.08",-10.54,0.52%,-,-,,
2018-08-23,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,999.92","1,999.92","1,999.92","2,009.54",-9.62,0.48%,-,-,,
2018-08-24,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,997.35","1,997.35","1,997.35","1,999.92",-2.57,0.13%,-,-,,
2018-08-27,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,973.83","1,973.83","1,973.83","1,997.35",-23.52,1.18%,-,-,,
2018-08-28,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,980.85","1,980.85","1,980.85","1,973.83",7.02,0.36%,-,-,,
2018-08-29,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,978.22","1,978.22","1,978.22","1,980.85",-2.63,0.13%,-,-,,
2018-08-30,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,965.42","1,965.42","1,965.42","1,978.22",-12.8,0.65%,-,-,,
2018-08-31,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,909.62","1,909.62","1,909.62","1,965.42",-55.8,2.84%,-,-,,
2018-09-03,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,911.94","1,911.94","1,911.94","1,909.62",2.32,0.12%,-,-,,
2018-09-04,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,932.32","1,932.32","1,932.32","1,911.94",20.38,1.07%,-,-,,
2018-09-05,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,915.99","1,915.99","1,915.99","1,932.32",-16.33,0.85%,-,-,,
2018-09-06,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,901.47","1,901.47","1,901.47","1,915.99",-14.52,0.76%,-,-,,
2018-09-07,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,891.03","1,891.03","1,891.03","1,901.47",-10.44,0.55%,-,-,,
2018-09-10,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,883.97","1,883.97","1,883.97","1,891.03",-7.06,0.37%,-,-,,
2018-09-11,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,863.15","1,863.15","1,863.15","1,883.97",-20.82,1.11%,-,-,,
2018-09-12,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,851.33","1,851.33","1,851.33","1,863.15",-11.82,0.63%,-,-,,
2018-09-13,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,827.38","1,827.38","1,827.38","1,851.33",-23.95,1.29%,-,-,,
2018-09-14,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,841.84","1,841.84","1,841.84","1,827.38",14.46,0.79%,-,-,,
2018-09-17,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,827.68","1,827.68","1,827.68","1,841.84",-14.16,0.77%,-,-,,
2018-09-18,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,828.96","1,828.96","1,828.96","1,827.68",1.28,0.07%,-,-,,
2018-09-19,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,801.04","1,801.04","1,801.04","1,828.96",-27.92,1.53%,-,-,,
2018-09-20,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,723.32","1,723.32","1,723.32","1,801.04",-77.72,4.32%,-,-,,
2018-09-21,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,692.77","1,692.77","1,692.77","1,723.32",-30.55,1.77%,-,-,,
2018-09-24,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,736.92","1,736.92","1,736.92","1,692.77",44.15,2.61%,-,-,,
2018-09-25,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,739.45","1,739.45","1,739.45","1,736.92",2.53,0.15%,-,-,,
2018-09-26,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,754.01","1,754.01","1,754.01","1,739.45",14.56,0.84%,-,-,,
2018-09-27,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,761.20","1,761.20","1,761.20","1,754.01",7.19,0.41%,-,-,,
2018-09-28,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,742.84","1,742.84","1,742.84","1,761.20",-18.36,1.04%,-,-,,
2018-10-01,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,744.78","1,744.78","1,744.78","1,742.84",1.94,0.11%,-,-,,
2018-10-02,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,739.77","1,739.77","1,739.77","1,744.78",-5.01,0.29%,-,-,,
2018-10-03,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,740.22","1,740.22","1,740.22","1,739.77",0.45,0.03%,-,-,,
2018-10-04,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,745.28","1,745.28","1,745.28","1,740.22",5.06,0.29%,-,-,,
2018-10-05,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,740.62","1,740.62","1,740.62","1,745.28",-4.66,0.27%,-,-,,
2018-10-08,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,732.92","1,732.92","1,732.92","1,740.62",-7.7,0.44%,-,-,,
2018-10-09,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,732.18","1,732.18","1,732.18","1,732.92",-0.74,0.04%,-,-,,
2018-10-11,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,710.37","1,710.37","1,710.37","1,732.18",-21.81,1.26%,-,-,,
2018-10-12,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,674.76","1,674.76","1,674.76","1,710.37",-35.61,2.08%,-,-,,
2018-10-15,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,645.20","1,645.20","1,645.20","1,674.76",-29.56,1.77%,-,-,,
2018-10-16,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,644.88","1,644.88","1,644.88","1,645.20",-0.32,0.02%,-,-,,
2018-10-17,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,644.28","1,644.28","1,644.28","1,644.88",-0.6,0.04%,-,-,,
2018-10-18,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,663.31","1,663.31","1,663.31","1,644.28",19.03,1.16%,-,-,,
2018-10-19,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,692.72","1,692.72","1,692.72","1,663.31",29.41,1.77%,-,-,,
2018-10-22,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","1,699.60","1,699.60","1,699.60","1,692.72",6.88,0.41%,-,-,,
