Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2018-07-09,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,713.72","1,713.72","1,713.72",172.95,"1,540.77",890.88%,-,-,,
2018-07-10,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,722.62","1,722.62","1,722.62","1,713.72",8.9,0.52%,-,-,,
2018-07-11,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,707.71","1,707.71","1,707.71","1,722.62",-14.91,0.87%,-,-,,
2018-07-12,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,702.71","1,702.71","1,702.71","1,707.71",-5,0.29%,-,-,,
2018-07-13,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,699.50","1,699.50","1,699.50","1,702.71",-3.21,0.19%,-,-,,
2018-07-16,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,702.10","1,702.10","1,702.10","1,699.50",2.6,0.15%,-,-,,
2018-07-17,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,697.85","1,697.85","1,697.85","1,702.10",-4.25,0.25%,-,-,,
2018-07-18,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,713.25","1,713.25","1,713.25","1,697.85",15.4,0.91%,-,-,,
2018-07-19,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,723.28","1,723.28","1,723.28","1,713.25",10.03,0.59%,-,-,,
2018-07-20,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,721.02","1,721.02","1,721.02","1,723.28",-2.26,0.13%,-,-,,
2018-07-23,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,722.97","1,722.97","1,722.97","1,721.02",1.95,0.11%,-,-,,
2018-07-24,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,725.60","1,725.60","1,725.60","1,722.97",2.63,0.15%,-,-,,
2018-07-25,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,731.77","1,731.77","1,731.77","1,725.60",6.17,0.36%,-,-,,
